match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,meta_data,match_week,competition_stage,stadium,referee
3890561,2016-05-14,15:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 175, 'home_team_name': 'Hoffenheim', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 445, 'name': 'Julian Nagelsmann', 'nickname': None, 'dob': '1987-07-23', 'country': {'id': 85, 'name': 'Germany'}}]}","{'away_team_id': 181, 'away_team_name': 'Schalke 04', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 58, 'name': 'André Breitenreiter', 'nickname': None, 'dob': '1973-10-02', 'country': {'id': 85, 'name': 'Germany'}}]}",1,4,available,unscheduled,2023-07-24T07:47:12.510532,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",34,"{'id': 1, 'name': 'Regular Season'}","{'id': 4541, 'name': 'PreZero Arena', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 186, 'name': 'Felix Brych', 'country': {'id': 85, 'name': 'Germany'}}"
3890505,2016-04-02,15:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 169, 'home_team_name': 'Bayern Munich', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 36, 'name': 'Josep Guardiola i Sala', 'nickname': 'Pep Guardiola', 'dob': '1971-01-18', 'country': {'id': 214, 'name': 'Spain'}}]}","{'away_team_id': 184, 'away_team_name': 'Eintracht Frankfurt', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 374, 'name': 'Niko Kovač', 'nickname': None, 'dob': '1971-10-15', 'country': {'id': 56, 'name': 'Croatia'}}]}",1,0,available,unscheduled,2023-08-03T13:14:14.503553,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",28,"{'id': 1, 'name': 'Regular Season'}","{'id': 4867, 'name': 'Allianz Arena', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 1008758, 'name': 'Florian Meyer', 'country': {'id': 85, 'name': 'Germany'}}"
3890511,2016-04-08,20:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 173, 'home_team_name': 'Hertha Berlin', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 51, 'name': 'Pál Dárdai', 'nickname': None, 'dob': '1976-03-16', 'country': {'id': 103, 'name': 'Hungary'}}]}","{'away_team_id': 178, 'away_team_name': 'Hannover 96', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 319, 'name': 'Daniel Stendel', 'nickname': None, 'dob': '1974-04-04', 'country': {'id': 85, 'name': 'Germany'}}]}",2,2,available,unscheduled,2023-08-06T05:50:38.345688,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",29,"{'id': 1, 'name': 'Regular Season'}","{'id': 367, 'name': 'Olympiastadion Berlin', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 235, 'name': 'Benjamin Brand', 'country': {'id': 85, 'name': 'Germany'}}"
3890515,2016-04-09,15:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 171, 'home_team_name': 'Hamburger SV', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 446, 'name': 'Bruno Labbadia', 'nickname': None, 'dob': '1966-02-08', 'country': {'id': 85, 'name': 'Germany'}}]}","{'away_team_id': 872, 'away_team_name': 'Darmstadt 98', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 377, 'name': 'Dirk Schuster', 'nickname': None, 'dob': '1967-12-29', 'country': {'id': 85, 'name': 'Germany'}}]}",1,2,available,unscheduled,2023-07-18T17:52:17.363623,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",29,"{'id': 1, 'name': 'Regular Season'}","{'id': 379, 'name': 'Volksparkstadion', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 1008767, 'name': 'Peter Sippel', 'country': {'id': 85, 'name': 'Germany'}}"
3890411,2015-12-20,16:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 173, 'home_team_name': 'Hertha Berlin', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 51, 'name': 'Pál Dárdai', 'nickname': None, 'dob': '1976-03-16', 'country': {'id': 103, 'name': 'Hungary'}}]}","{'away_team_id': 177, 'away_team_name': 'FSV Mainz 05', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 186, 'name': 'Martin Schmidt', 'nickname': None, 'dob': '1967-04-12', 'country': {'id': 221, 'name': 'Switzerland'}}]}",2,0,available,unscheduled,2023-07-16T13:47:06.565811,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",17,"{'id': 1, 'name': 'Regular Season'}","{'id': 367, 'name': 'Olympiastadion Berlin', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 1008767, 'name': 'Peter Sippel', 'country': {'id': 85, 'name': 'Germany'}}"
3890397,2015-12-12,16:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 175, 'home_team_name': 'Hoffenheim', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 1797, 'name': 'Huub Stevens', 'nickname': None, 'dob': '1953-11-29', 'country': {'id': 160, 'name': 'Netherlands'}}]}","{'away_team_id': 178, 'away_team_name': 'Hannover 96', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 1003174, 'name': 'Michael Frontzeck', 'nickname': None, 'dob': '1964-03-26', 'country': {'id': 85, 'name': 'Germany'}}]}",1,0,available,unscheduled,2023-07-19T14:26:23.690652,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",16,"{'id': 1, 'name': 'Regular Season'}","{'id': 4541, 'name': 'PreZero Arena', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 1945, 'name': 'Jochen Drees', 'country': {'id': 85, 'name': 'Germany'}}"
3890401,2015-12-13,18:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 180, 'home_team_name': 'Borussia Dortmund', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 279, 'name': 'Thomas Tuchel', 'nickname': None, 'dob': '1973-08-29', 'country': {'id': 85, 'name': 'Germany'}}]}","{'away_team_id': 184, 'away_team_name': 'Eintracht Frankfurt', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 1003175, 'name': 'Armin Veh', 'nickname': None, 'dob': '1961-02-01', 'country': {'id': 85, 'name': 'Germany'}}]}",4,1,available,unscheduled,2023-07-15T21:29:49.983892,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",16,"{'id': 1, 'name': 'Regular Season'}","{'id': 373, 'name': 'Signal-Iduna-Park', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 237, 'name': 'Christian Dingert', 'country': {'id': 85, 'name': 'Germany'}}"
3890396,2015-12-12,16:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 179, 'home_team_name': 'Wolfsburg', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 411, 'name': 'Dieter Hecking', 'nickname': None, 'dob': '1964-09-12', 'country': {'id': 85, 'name': 'Germany'}}]}","{'away_team_id': 171, 'away_team_name': 'Hamburger SV', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 446, 'name': 'Bruno Labbadia', 'nickname': None, 'dob': '1966-02-08', 'country': {'id': 85, 'name': 'Germany'}}]}",1,1,available,unscheduled,2023-07-14T19:31:18.321856,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",16,"{'id': 1, 'name': 'Regular Season'}","{'id': 4849, 'name': 'Volkswagen Arena', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 716, 'name': 'Wolfgang Stark', 'country': {'id': 85, 'name': 'Germany'}}"
3890384,2015-11-29,16:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 180, 'home_team_name': 'Borussia Dortmund', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 279, 'name': 'Thomas Tuchel', 'nickname': None, 'dob': '1973-08-29', 'country': {'id': 85, 'name': 'Germany'}}]}","{'away_team_id': 174, 'away_team_name': 'VfB Stuttgart', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 1003277, 'name': 'Jürgen Kramny', 'nickname': None, 'dob': '1971-10-18', 'country': {'id': 85, 'name': 'Germany'}}]}",4,1,available,unscheduled,2023-07-12T15:03:00.199425,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",14,"{'id': 1, 'name': 'Regular Season'}","{'id': 373, 'name': 'Signal-Iduna-Park', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 230, 'name': 'Manuel Gräfe', 'country': {'id': 85, 'name': 'Germany'}}"
3890385,2015-12-04,21:30:00.000,"{'competition_id': 9, 'country_name': 'Germany', 'competition_name': '1. Bundesliga'}","{'season_id': 27, 'season_name': '2015/2016'}","{'home_team_id': 181, 'home_team_name': 'Schalke 04', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 58, 'name': 'André Breitenreiter', 'nickname': None, 'dob': '1973-10-02', 'country': {'id': 85, 'name': 'Germany'}}]}","{'away_team_id': 178, 'away_team_name': 'Hannover 96', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 1003174, 'name': 'Michael Frontzeck', 'nickname': None, 'dob': '1964-03-26', 'country': {'id': 85, 'name': 'Germany'}}]}",3,1,available,unscheduled,2023-07-24T09:24:06.545210,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",15,"{'id': 1, 'name': 'Regular Season'}","{'id': 370, 'name': 'VELTINS-Arena', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 716, 'name': 'Wolfgang Stark', 'country': {'id': 85, 'name': 'Germany'}}"
