team_id,team_name,gender,group,country,manager
1,Arsenal,male,,"{'id': 68, 'name': 'England'}",
1,Arsenal,male,,"{'id': 68, 'name': 'England'}","[{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]"
22,Leicester City,male,,"{'id': 68, 'name': 'England'}","[{'id': 2974, 'name': 'Micky Adams', 'nickname': None, 'dob': '1961-11-08', 'country': {'id': 68, 'name': 'England'}}]"
22,Leicester City,male,,"{'id': 68, 'name': 'England'}","[{'id': 60, 'name': 'Claudio Ranieri', 'nickname': None, 'dob': '1951-10-20', 'country': {'id': 112, 'name': 'Italy'}}]"
23,Watford,male,,"{'id': 68, 'name': 'England'}","[{'id': 236, 'name': 'Enrique Sánchez Flores', 'nickname': 'Quique Sánchez Flores', 'dob': '1965-02-05', 'country': {'id': 214, 'name': 'Spain'}}]"
24,Liverpool,male,,"{'id': 68, 'name': 'England'}","[{'id': 6, 'name': 'Brendan Rodgers', 'nickname': None, 'dob': '1973-01-26', 'country': {'id': 169, 'name': 'Northern Ireland'}}]"
24,Liverpool,male,,"{'id': 68, 'name': 'England'}",
24,Liverpool,male,,"{'id': 68, 'name': 'England'}","[{'id': 148, 'name': 'Rafael Benítez Maudes', 'nickname': 'Rafael Benítez', 'dob': '1960-04-16', 'country': {'id': 214, 'name': 'Spain'}}]"
24,Liverpool,male,,"{'id': 68, 'name': 'England'}","[{'id': 94, 'name': 'Jürgen Klopp', 'nickname': None, 'dob': '1967-06-16', 'country': {'id': 85, 'name': 'Germany'}}]"
25,Southampton,male,,"{'id': 68, 'name': 'England'}","[{'id': 3722, 'name': 'Gordon Strachan', 'nickname': None, 'dob': '1957-02-09', 'country': {'id': 201, 'name': 'Scotland'}}]"
25,Southampton,male,,"{'id': 68, 'name': 'England'}","[{'id': 676, 'name': 'Ronald Koeman', 'nickname': None, 'dob': '1963-03-21', 'country': {'id': 160, 'name': 'Netherlands'}}]"
26,Swansea City,male,,"{'id': 249, 'name': 'Wales'}","[{'id': 4711, 'name': 'Alan Curtis', 'nickname': None, 'dob': '1954-04-16', 'country': {'id': 249, 'name': 'Wales'}}]"
26,Swansea City,male,,"{'id': 249, 'name': 'Wales'}","[{'id': 3626, 'name': 'Francesco Guidolin', 'nickname': None, 'dob': '1955-10-03', 'country': {'id': 112, 'name': 'Italy'}}]"
26,Swansea City,male,,"{'id': 249, 'name': 'Wales'}","[{'id': 4711, 'name': 'Alan Curtis', 'nickname': None, 'dob': '1954-04-16', 'country': {'id': 249, 'name': 'Wales'}}, {'id': 3626, 'name': 'Francesco Guidolin', 'nickname': None, 'dob': '1955-10-03', 'country': {'id': 112, 'name': 'Italy'}}]"
26,Swansea City,male,,"{'id': 249, 'name': 'Wales'}","[{'id': 270, 'name': 'Garry Monk', 'nickname': None, 'dob': '1979-03-06', 'country': {'id': 68, 'name': 'England'}}]"
27,West Bromwich Albion,male,,"{'id': 68, 'name': 'England'}","[{'id': 300, 'name': 'Tony Pulis', 'nickname': None, 'dob': '1958-01-16', 'country': {'id': 249, 'name': 'Wales'}}]"
28,AFC Bournemouth,male,,"{'id': 68, 'name': 'England'}","[{'id': 38, 'name': 'Eddie Howe', 'nickname': None, 'dob': '1977-11-29', 'country': {'id': 68, 'name': 'England'}}]"
29,Everton,male,,"{'id': 68, 'name': 'England'}","[{'id': 263, 'name': 'Roberto Martínez Montoliú', 'nickname': 'Roberto Martínez', 'dob': '1973-07-13', 'country': {'id': 214, 'name': 'Spain'}}]"
29,Everton,male,,"{'id': 68, 'name': 'England'}","[{'id': 689, 'name': 'David Unsworth', 'nickname': None, 'dob': '1973-10-16', 'country': {'id': 68, 'name': 'England'}}]"
29,Everton,male,,"{'id': 68, 'name': 'England'}","[{'id': 86, 'name': 'David Moyes', 'nickname': None, 'dob': '1963-04-25', 'country': {'id': 201, 'name': 'Scotland'}}]"
30,Stoke City,male,,"{'id': 68, 'name': 'England'}","[{'id': 55, 'name': 'Mark Hughes', 'nickname': None, 'dob': '1963-11-01', 'country': {'id': 249, 'name': 'Wales'}}]"
31,Crystal Palace,male,,"{'id': 68, 'name': 'England'}","[{'id': 382, 'name': 'Alan Pardew', 'nickname': None, 'dob': '1961-07-18', 'country': {'id': 68, 'name': 'England'}}]"
33,Chelsea,male,,"{'id': 68, 'name': 'England'}","[{'id': 60, 'name': 'Claudio Ranieri', 'nickname': None, 'dob': '1951-10-20', 'country': {'id': 112, 'name': 'Italy'}}]"
33,Chelsea,male,,"{'id': 68, 'name': 'England'}","[{'id': 5019, 'name': 'Steve Holland', 'nickname': None, 'dob': '1970-04-30', 'country': {'id': 68, 'name': 'England'}}]"
33,Chelsea,male,,"{'id': 68, 'name': 'England'}","[{'id': 3608, 'name': 'Guus Hiddink', 'nickname': None, 'dob': '1946-11-08', 'country': {'id': 160, 'name': 'Netherlands'}}]"
33,Chelsea,male,,"{'id': 68, 'name': 'England'}","[{'id': 383, 'name': 'José Mario Felix dos Santos Mourinho', 'nickname': 'José Mourinho', 'dob': '1963-01-26', 'country': {'id': 183, 'name': 'Portugal'}}]"
33,Chelsea,male,,"{'id': 68, 'name': 'England'}","[{'id': 789, 'name': 'Roberto Di Matteo', 'nickname': None, 'dob': '1970-05-29', 'country': {'id': 112, 'name': 'Italy'}}]"
36,Manchester City,male,,"{'id': 68, 'name': 'England'}","[{'id': 733, 'name': 'Manuel Luis Pellegrini Ripamonti', 'nickname': 'Manuel Pellegrini', 'dob': '1953-09-16', 'country': {'id': 45, 'name': 'Chile'}}]"
36,Manchester City,male,,"{'id': 68, 'name': 'England'}","[{'id': 4202, 'name': 'Kevin Joseph Keegan', 'nickname': 'Kevin Keegan', 'dob': '1951-02-14', 'country': {'id': 68, 'name': 'England'}}]"
37,Newcastle United,male,,"{'id': 68, 'name': 'England'}","[{'id': 3404, 'name': 'Bobby Robson', 'nickname': None, 'dob': '1933-02-18', 'country': {'id': 68, 'name': 'England'}}]"
37,Newcastle United,male,,"{'id': 68, 'name': 'England'}","[{'id': 148, 'name': 'Rafael Benítez Maudes', 'nickname': 'Rafael Benítez', 'dob': '1960-04-16', 'country': {'id': 214, 'name': 'Spain'}}]"
37,Newcastle United,male,,"{'id': 68, 'name': 'England'}","[{'id': 40, 'name': 'Steve McClaren', 'nickname': None, 'dob': '1961-05-03', 'country': {'id': 68, 'name': 'England'}}]"
38,Tottenham Hotspur,male,,"{'id': 68, 'name': 'England'}","[{'id': 81, 'name': 'Mauricio Roberto Pochettino Trossero', 'nickname': 'Mauricio Pochettino', 'dob': '1972-03-02', 'country': {'id': 11, 'name': 'Argentina'}}]"
38,Tottenham Hotspur,male,,"{'id': 68, 'name': 'England'}","[{'id': 3533, 'name': 'David Pleat', 'nickname': None, 'dob': '1945-01-15', 'country': {'id': 68, 'name': 'England'}}]"
39,Manchester United,male,,"{'id': 68, 'name': 'England'}","[{'id': 790, 'name': 'Alex Ferguson', 'nickname': None, 'dob': '1941-12-31', 'country': {'id': 201, 'name': 'Scotland'}}]"
39,Manchester United,male,,"{'id': 68, 'name': 'England'}","[{'id': 788, 'name': 'Louis van Gaal', 'nickname': None, 'dob': '1951-08-08', 'country': {'id': 160, 'name': 'Netherlands'}}]"
40,West Ham United,male,,"{'id': 68, 'name': 'England'}","[{'id': 150, 'name': 'Slaven Bilić', 'nickname': None, 'dob': '1968-09-11', 'country': {'id': 56, 'name': 'Croatia'}}]"
